username,name,url_main,url_user,exists,http_status
CA_1000O,Ebay,https://www.ebay.com/,https://www.ebay.com/usr/CA_1000O,Unknown,200.0
CA_1000O,500px,https://500px.com/,https://500px.com/p/CA_1000O,Unknown,200.0
CA_1000O,AskFM,https://ask.fm/,https://ask.fm/CA_1000O,Unknown,0.0
CA_1000O,authorSTREAM,http://www.authorstream.com/,http://www.authorstream.com/author/CA_1000O/,Claimed,200.0
CA_1000O,Yummly,https://www.yummly.com,https://mapi.yummly.com/mapi/v19/user/CA_1000O,Unknown,0.0
CA_1000O,ImgInn,https://imginn.com,https://imginn.com/CA_1000O/,Claimed,200.0
CA_1000O,kofi,https://ko-fi.com,https://ko-fi.com/CA_1000O,Claimed,200.0
CA_1000O,LiveLib,https://www.livelib.ru/,https://www.livelib.ru/reader/CA_1000O,Claimed,200.0
CA_1000O,PyPi,https://pypi.org/,https://pypi.org/user/CA_1000O,Unknown,200.0
CA_1000O,AdultFriendFinder,https://adultfriendfinder.com,https://adultfriendfinder.com/profile/CA_1000O,Claimed,200.0
CA_1000O,Pixwox,https://www.pixwox.com,https://www.pixwox.com/profile/CA_1000O/,Claimed,200.0
CA_1000O,AppleDeveloper,https://developer.apple.com/forums,https://developer.apple.com/forums/profile/CA_1000O,Unknown,0.0
CA_1000O,PerfectWorldForum,https://pw.mail.ru/,https://pw.mail.ru/forums/member.php?username=CA_1000O,Claimed,200.0
CA_1000O,My.Mail.ru@bk.ru,,,Unknown,0.0
CA_1000O,My.Mail.ru@gmail.com,,,Unknown,0.0
CA_1000O,My.Mail.ru@ya.ru,,,Unknown,0.0
CA_1000O,Tanks,,,Unknown,0.0
CA_1000O,PerfectWorld,,,Unknown,0.0
CA_1000O,Revelation,,,Unknown,0.0
CA_1000O,Warface,,,Unknown,0.0
CA_1000O,ArchiveOfOurOwn,,,Unknown,0.0
CA_1000O,HackerNews,,,Unknown,0.0
CA_1000O,forum.openoffice.org,,,Unknown,0.0
CA_1000O,TRASHBOX.RU,,,Unknown,0.0
